algorithm;abbr;multiclass
AC ;AC ;1
AC_lr ;AC-LR ;1
AC_rf ;AC-RF ;1
AC_svc ;AC-SV ;1
AC_ada ;AC-AB ;1
PAC;PAC;1
PAC_lr ;PAC-LR ;1
TSX ;TSX ;1
TSX_lr ;TSX-LR ;1
TSX_svc ;TSX-SV ;1
TS50;TS50;1
TS50_lr ;TS50-LR ;1
TS50_svc ;TS50-SV ;1
TSMax;TSMax;1
TSMax_lr ;TSMax-LR ;1
TSMax_svc ;TSMax-SV ;1
MS;MS;1
MS_lr ;MS-LR ;1
MS_svc ;MS-SV ;1
GAC;GAC;1
GAC_lr;GAC-LR;1
GAC_rf;GAC-RF;1
GAC_svc;GAC-SV;1
GAC_ada;GAC-AB;1
GPAC;GPAC;1
GPAC_lr;GPAC-LR;1
DyS;DyS;1
DyS_lr;DyS-LR;1
DyS_svc;DyS-SV;1
FormanMM;FMM;1
FormanMM_lr;FMM-LR;1
FormanMM_svc;FMM-SV;1
HDy;HDy;1
HDy_lr;HDy-LR;1
HDy_rf;HDy-RF;1
HDy_svc;HDy-SV;1
HDy_ada;HDy-AB;1
FM;FM;1
FM_lr;FM-LR;1
EM;EM;1
EM_lr;EM-LR;1
CDE ;CDE ;0
CDE_lr;CDE-LR;0
CC;CC;1
CC_lr;CC-LR;1
CC_rf;CC-RF;1
CC_svc;CC-SV;1
CC_ada;CC-AB;1
PCC;PCC;1
PCC_lr;PCC-LR;1
SVM_KLD;SVM-K;0
SVM_Q;SVM-Q;0
SVR_KLD;RBF-K;0
SVR_Q;RBF-Q;0
